kod;nazev;provozovna;mesto;kraj;region;brand;typ;lat;lng;erp_system
10;Plzeň;PL;Plzeň;Plzeňský;PLZ;B2B;sklad+pobočka;49.7384;13.3736;cezar
11;Plzeň-Lochotín;PLLO;Plzeň;Plzeňský;PLZ;B2C;pobočka;49.7626;13.3608;cezar
20;Sokolov;SO;Sokolov;Karlovarský;ZAP;B2B;pobočka;50.1814;12.6402;cezar
21;Chomutov;CHOM;Chomutov;Ústecký;ZAP;B2C;pobočka;50.4605;13.4178;cezar
22;Karlovy Vary;KVAR;Karlovy Vary;Karlovarský;ZAP;B2C;pobočka;50.2310;12.8717;cezar
25;Cheb;CH;Cheb;Karlovarský;ZAP;B2C;pobočka;50.0796;12.3731;cezar
30;Vodňany;VO;Vodňany;Jihočeský;JIH;B2B;pobočka;49.1487;14.1753;cezar
40;Praha-klíčové centrum;PRKC;Praha;Praha;PRA;B2B;pobočka;50.0900;14.4400;cezar
41;Praha-Václavské nám.;PRVN;Praha;Praha;PRA;B2C;pobočka;50.0814;14.4280;cezar
42;Praha-Zličín;PRZL;Praha;Praha;PRA;B2C;pobočka;50.0567;14.2862;cezar
45;Praha-Jakov (Vysočany);PRJA;Praha;Praha;PRA;B2B;pobočka;50.1102;14.5012;cezar
50;Ostrava;OS;Ostrava;Moravskoslezský;SMO;B2B;pobočka;49.8209;18.2625;cezar
60;Č.Budějovice;CB;České Budějovice;Jihočeský;JIH;B2C;pobočka;48.9747;14.4744;cezar
61;Hrdějovice;CB2;Hrdějovice;Jihočeský;JIH;B2C;pobočka;49.0150;14.4750;cezar
70;Brno;BR;Brno;Jihomoravský;JMO;B2C;pobočka;49.1951;16.6068;cezar
80;Plzeň-Nová Hospoda;PLNH;Plzeň;Plzeňský;PLZ;B2B;sklad;49.7280;13.3200;cezar
95;R-Ostatní;;;;;reklamace;reklamacni-sklad;;;cezar
96;R-Ghidini;;;;;reklamace;reklamacni-sklad;;;cezar
97;R-Openers & Closers;;;;;reklamace;reklamacni-sklad;;;cezar
98;R-Silca;;;;;reklamace;reklamacni-sklad;;;cezar
99;R-Burg Wachter;;;;;reklamace;reklamacni-sklad;;;cezar
